Year,Country,Region,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Standard error of ladder score,Logged GDP per capita,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Ladder score in Dystopia,Social support.1,Generosity.1
2016,United States,North America,13.0,7.104,7.02,7.188,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,,,,,,,,
2017,United States,,14.0,6.99300003051758,6.91134331345558,7.07465674757957,1.54625928401947,1.41992056369781,0.77428662776947,0.505740523338318,0.135638788342476,0.392578780651093,2.2181134223938,,,,,,,,
2018,United States,,18.0,6.886,,,1.398,1.471,0.819,0.547,0.133,0.291,,,,,,,,,
2019,United States,,19.0,6.892,,,1.433,1.457,0.874,0.454,0.128,0.28,,,,,,,,,
2020,United States,North America and ANZ,19.0,6.939599991,6.846860409,7.032339573,1.37398684,0.914219022,0.831618011,0.534608245,0.152284741,0.149891734,2.344124794,0.047316168,10.92576885,68.29949951,0.842619538,0.699715316,1.972316742,1.404786706,0.298143059
2021,United States,North America and ANZ,20.0,6.951,6.856,7.047,1.533,0.92,0.621,0.554,0.154,0.098,2.807,0.049,11.023,68.2,0.837,0.698,2.43,1.03,0.252
2022,United States,,16.0,"6,977","6,888","7,065","1,982","1,182","0,628","0,574","0,177","0,220","2,214",,,,,,,,
2016,Netherlands,Western Europe,7.0,7.339,7.284,7.394,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,,,,,,,,
2017,Netherlands,,6.0,7.3769998550415,7.32657386884093,7.42742584124207,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.282661825418472,0.470489829778671,2.29480409622192,,,,,,,,
2018,Netherlands,,6.0,7.441,,,1.361,1.488,0.878,0.638,0.295,0.333,,,,,,,,,
2019,Netherlands,,5.0,7.488,,,1.396,1.522,0.999,0.557,0.298,0.322,,,,,,,,,
2020,Netherlands,Western Europe,7.0,7.448900223,7.394428253,7.503372192,1.338946342,0.93913883,0.975675344,0.61362648,0.368569762,0.20761244,2.352117062,0.02779175,10.81271172,72.30091858,0.908547819,0.364717126,1.972316742,1.463645935,0.336317569
2021,Netherlands,Western Europe,6.0,7.464,7.41,7.518,1.501,0.942,0.753,0.647,0.384,0.175,2.798,0.027,10.932,72.4,0.913,0.338,2.43,1.079,0.302
2022,Netherlands,,5.0,"7,415","7,359","7,471","1,945","1,206","0,787","0,651","0,419","0,271","2,137",,,,,,,,
